Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
ATP2B3,"ATPase, Ca++ transporting, plasma membrane 3",492,X:152801580-152848387,1,Yes,28,yes,,adrenal aldosterone producing adenoma,,,E,Dom,TSG,O,,,,"492,ATP2B3,CFAP39,CLA2,ENSG00000067842.13,PMCA3,Q16720,SCAX1"
ATR,ATR serine/threonine kinase,545,3:142168079-142297668,1,Yes,23,yes,yes,"endometrial, gastric, epithelial ovarian, myeloma",oropharyngeal,familial cutaneous telangiectasia and cancer syndrome,"E; L",Dom,TSG,"F; Mis",,yes,Seckel syndrome 1,"545,ATR,ENSG00000175054.10,FRP1,MEC1,Q13535,SCKL,SCKL1"
ATRX,alpha thalassemia/mental retardation syndrome X-linked,546,X:76760356-77041702,1,Yes,21.1,yes,,"pancreatic neuroendocrine tumours, paediatric GBM",,,E,Rec,TSG,"Mis, F, N",,yes,ATR-X (alpha thalassemia/mental retardation) syndrome,"546,ATRX,ENSG00000085224.16,JMS,MRX52,P46100,RAD54,XH2,XNP"
AXIN1,axin 1,8312,16:337440-402659,1,Yes,13.3,yes,,"colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma",,,"E, O",Rec,TSG,"D, Mis, N, F, S",,,,"8312,AXIN1,ENSG00000103126.10,O15169,PPP1R49"
AXIN2,axin 2,8313,17:63524681-63557765,1,Yes,24.1,yes,yes,"colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma",colorectal carcinoma,oligodontia-colorectal cancer syndrome,E,Rec,TSG,"Mis, F, N",,,,"8313,AXIN2,DKFZp781B0869,ENSG00000168646.8,MGC126582,Q9Y2T1"
B2M,beta-2-microglobulin,567,15:45003675-45011075,1,Yes,21.1,yes,,"DLBCL, melanoma, colorectal adenocarcinoma",,,"E, L",Rec,TSG,"Mis, N, F",,yes,Immunodeficiency 43,"567,B2M,ENSG00000166710.13,P61769"
BAP1,BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase),8314,3:52435029-52444366,1,Yes,21.1,yes,yes,"uveal melanoma, breast, NSCLC, RCC","mesothelioma, uveal melanoma",,E,Rec,TSG,"N, Mis, F, S, O",,,,"8314,BAP1,ENSG00000163930.5,KIAA0272,Q92560,UCHL2,hucep-6"
BARD1,BRCA1 associated RING domain 1,580,2:215590370-215674428,1,,35,yes,yes,breast cancer,"ovarian cancer, breast cancer, endometrioid cancer",,E,,TSG,Mis,,,,"580,BARD1,ENSG00000138376.6,Q99728"
BAX,"BCL2 associated X, apoptosis regulator",581,19:49458186-49465055,1,,13.33,yes,,colorectal cancer,,,E,,TSG,"F, Mis",,,,"581,BAX,BCL2L4,ENSG00000087088.15,Q07812"
BAZ1A,bromodomain adjacent to zinc finger domain 1A,11177,14:35221943-35344853,2,,13.2,yes,,"uterine carcinosarcoma, colon cancer",,,E,,TSG,D,,,,"11177,ACF1,BAZ1A,ENSG00000198604.6,Q9NRL2,WALp1,WCRF180,hACF1"
BCL10,B-cell CLL/lymphoma 10,8915,1:85731931-85742773,1,Yes,22.3,yes,,MALT,,,L,Dom,"TSG, fusion",T,IGH,,,"8915,BCL10,CARMEN,CIPER,CLAP,ENSG00000142867.8,O95999,c-E10,mE10"
BCL11B,B-cell CLL/lymphoma 11B  (CTIP2),64919,14:99635624-99737565,1,Yes,32.2,yes,,T-ALL,,,L,Dom,"oncogene, TSG, fusion",T,TLX3,,,"64919,BCL11B,CTIP-2,CTIP2,ENSG00000127152.13,Q9C0K0,ZNF856B,hRIT1-alpha"
BCL9L,B-cell CLL/lymphoma 9-like,283149,11:118764584-118781613,1,Yes,23.3,yes,,"colorectal cancer, endometrial carcinoma, gastric cancer",,,E,,"oncogene, TSG","Mis, F",,,,"283149,BCL9L,DLNB11,ENSG00000186174.8,Q86UU0"
BCOR,BCL6 corepressor,54880,X:39910501-39956656,1,Yes,11.4,yes,,"retinoblastoma, AML, APL (translocation)",,,"L, M",Rec,"TSG, fusion","F, N, S, T",RARA,yes,Oculo-facio-cardio-dental genetic,"54880,BCOR,ENSG00000183337.12,FLJ20285,KIAA1575,Q6W2J9"
BCORL1,BCL6 corepressor-like 1,63035,X:129139164-129192058,1,Yes,26.1,yes,,"AML, HNSCC",,,"E, L",,"oncogene, TSG","Mis, N, F",,,,"63035,BCORL1,CXorf10,ENSG00000085185.11,FLJ11362,Q5H9F3"
BIRC3,baculoviral IAP repeat-containing 3,330,11:102188226-102208465,1,Yes,22.2,yes,,"CLL, MALT, MCL, MM",,,L,Dom,"oncogene, TSG, fusion","D, F, N, T, Mis",MALT1,,,"330,API2,BIRC3,ENSG00000023445.9,MALT2,MIHC,Q13489,RNF49,c-IAP2,cIAP2,hiap-1"
BLM,Bloom Syndrome,641,15:91260558-91358692,1,Yes,26.1,,yes,,"leukaemia, lymphoma, skin squamous cell, other tumour types",Bloom syndrome,"L, E",Rec,TSG,"Mis, N, F",,,,"641,BLM,BS,ENSG00000197299.6,P54132,RECQ2,RECQL3"
BMPR1A,"bone morphogenetic protein receptor, type IA",657,10:88516407-88692595,1,Yes,23.2,,yes,,gastrointestinal polyps,juvenile polyposis,E,Rec,"oncogene, TSG","Mis, N, F",,,,"657,ACVRLK3,ALK3,BMPR1A,CD292,ENSG00000107779.7,P36894"
BRCA1,familial breast/ovarian cancer gene 1,672,17:41197646-41277500,1,Yes,21.31,yes,yes,ovarian,"breast, ovarian",hereditary breast/ovarian cancer,E,Rec,TSG,"D, Mis, N, F, S",,,,"672,BRCA1,BRCC1,ENSG00000012048.15,FANCS,PPP1R53,RNF53"
BRCA2,familial breast/ovarian cancer gene 2,675,13:32889617-32973805,1,Yes,13.1,yes,yes,"breast, ovarian, pancreatic","breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)",hereditary breast/ovarian cancer,"L, E",Rec,TSG,"D, Mis, N, F, S",,,,"675,BRCA2,BRCC2,ENSG00000139618.10,FACD,FAD,FAD1,FANCD,FANCD1,P51587,XRCC11"
BRIP1,BRCA1 interacting protein C-terminal helicase 1,83990,17:59758627-59940882,1,Yes,23.2,,yes,,"AML, leukaemia, breast","Fanconi anaemia J, breast cancer susceptiblity","L, E",Rec,TSG,"F, N, Mis",,,,"83990,BACH1,BRIP1,ENSG00000136492.4,FANCJ,OF,Q9BX63"
BTG1,"B-cell translocation gene 1, anti-proliferative",694,12:92536286-92539673,1,,21.33,yes,,B-CLL,,,L,Dom,"TSG, fusion",T,MYC,,,"694,APRO2,BTG1,ENSG00000133639.3,P62324"
BTK,Bruton agammaglobulinemia tyrosine kinase,695,X:100604438-100641183,1,Yes,22.1,yes,,"CLL, mantle cell lymphoma, WM",,,L,Dom,"oncogene, TSG",Mis,,yes,agammaglobulinemia,"695,AGMX1,ATK,BTK,ENSG00000010671.11,IMD1,PSCTK1,Q06187,XLA"
BUB1B,BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast),701,15:40453227-40513337,1,Yes,15.1,,yes,,rhabdomyosarcoma,mosaic variegated aneuploidy,M,Rec,TSG,"Mis, N, F, S",,,,"701,BUB1B,BUBR1,Bub1A,ENSG00000156970.8,MAD3L,O60566,SSK1"
CAMTA1,calmodulin binding transcription activator 1,23261,1:6845384-7829766,1,Yes,36.31,yes,,epithelioid haemangioendothelioma,,,M,Dom,"TSG, fusion",T,WWTR1,,,"23261,CAMTA1,ENSG00000171735.14,KIAA0833,Q9Y6Y1"
CARS,cysteinyl-tRNA synthetase,833,11:3022152-3078667,1,Yes,15.4,yes,,ALCL,,,L,Dom,"TSG, fusion",T,ALK,,,"833,CARS,CARS1,ENSG00000110619.12,P49589"
CASP3,caspase 3,836,4:185548850-185570629,2,,35.1,yes,,ovarian cancer,,,E,,TSG,D,,,,"836,CASP3,CPP32,CPP32B,ENSG00000164305.13,P42574,Yama,apopain"
CASP8,"caspase 8, apoptosis-related cysteine peptidase",841,2:202122759-202152434,1,Yes,33.1,yes,,"hepatocellular, oral squamous cell, breast",,,E,Rec,TSG,"N, S, F",,,,"841,CASP8,Casp-8,ENSG00000064012.17,FLICE,MACH,MCH5,Q14790"
CASP9,caspase 9,842,1:15818765-15850790,2,,36.21,yes,,glioma,,,O,,TSG,D,,,,"842,APAF-3,CASP9,ENSG00000132906.13,ICE-LAP6,MCH6,P55211,PPP1R56"
CBFA2T3,"core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (MTG-16)",863,16:88941266-89043612,1,Yes,24.3,yes,,AML,,,L,Dom,"TSG, fusion",T,"RUNX1, GLIS2",,,"863,CBFA2T3,ENSG00000129993.10,ETO2,MTG16,MTGR2,O75081,RUNX1T3,ZMYND4"
CBFB,"core-binding factor, beta subunit",865,16:67063148-67134925,1,Yes,22.1,yes,,AML,,,L,Dom,"TSG, fusion",T,MYH11,,,"865,CBFB,ENSG00000067955.9,PEBP2B,Q13951"
CBL,Cas-Br-M (murine) ecotropic retroviral transforming,867,11:119076752-119178859,1,Yes,23.3,yes,,"AML, JMML, MDS",,,L,Dom/Rec,"oncogene, TSG, fusion","T, Mis, S, O",KMT2A,,,"867,CBL,CBL2,ENSG00000110395.4,P22681,RNF55,c-Cbl"
CBLB,Cas-Br-M (murine) ecotropic retroviral transforming sequence b,868,3:105374305-105587887,1,Yes,13.11,yes,,AML,,,L,Rec,TSG,"Mis, S",,,,"868,CBLB,Cbl-b,ENSG00000114423.14,Q13191,RNF56"
CBLC,Cas-Br-M (murine) ecotropic retroviral transforming sequence c,23624,19:45281126-45303891,1,,13.32,yes,,AML,,,L,Rec,"oncogene, TSG",M,,,,"23624,CBL-3,CBL-SL,CBLC,ENSG00000142273.6,Q9ULV8,RNF57"
CCDC6,coiled-coil domain containing 6,8030,10:61548521-61666414,1,Yes,21.2,yes,,"papillary thyroid, CML, NSCLC",,,E,Dom,"TSG, fusion",T,"RET, PDGFRB",,,"8030,CCDC6,D10S170,ENSG00000108091.10,H4,PTC,Q16204,TPC,TST1"
CCNB1IP1,"cyclin B1 interacting protein 1, E3 ubiquitin protein ligase",57820,14:20779529-20797539,1,Yes,11.2,yes,,leiomyoma,,,M,Dom,"TSG, fusion",T,HMGA2,,,"57820,C14orf18,CCNB1IP1,ENSG00000100814.13,HEI10,Q9NPC3"
CCNC,cyclin C,892,6:99990256-100016849,2,,16.2,yes,,T-ALL,,,L,,TSG,D,,,,"892,CCNC,CycC,ENSG00000112237.8,P24863"
CD274,CD274 molecule,29126,9:5450525-5470547,1,,24.1,yes,,"PMBL, Hodgkin lymphoma",,,L,Dom,"TSG, fusion",T,CIITA,,,"29126,B7-H,B7-H1,B7H1,CD274,ENSG00000120217.9,PD-L1,PDCD1LG1,PDL1,Q9NZQ7"
CDC73,cell division cycle 73,79577,1:193091147-193223031,1,Yes,31.2,yes,yes,parathyroid adenoma,"parathyroid adenoma, multiple ossifying jaw fibroma",hyperparathyroidism-jaw tumour syndrome,"E, M",Rec,TSG,"Mis, N, F",,,,"79577,C1orf28,CDC73,ENSG00000134371.9,FIHP,HRPT1,HRPT2,Q6P1J9,parafibromin"
CDH1,"cadherin 1, type 1, E-cadherin (epithelial) (ECAD)",999,16:68771128-68869451,1,Yes,22.1,yes,yes,"lobular breast, gastric",gastric,familial gastric carcinoma,E,Rec,TSG,"Mis, N, F, S",,,,"999,CD324,CDH1,ENSG00000039068.14,P12830,UVO,uvomorulin"
CDH10,cadherin 10,1008,5:24487209-24645087,2,,14.2,yes,yes,melanoma,pancreatic ductal adenocarcinoma,,E,,TSG,"Mis, F, N",,,,"1008,CDH10,ENSG00000040731.6,Q9Y6N8"
CDH11,"cadherin 11, type 2, OB-cadherin (osteoblast)",1009,16:64977656-65156101,1,Yes,21,yes,,aneurysmal bone cyst,,,M,Dom,"TSG, fusion",T,USP6,,,"1009,CAD11,CDH11,ENSG00000140937.9,OB,P55287"
CDK12,cyclin-dependent kinase 12,51755,17:37618292-37691399,1,Yes,12,yes,,serous ovarian,,,E,Rec,TSG,"Mis, N, F",,,,"51755,CDK12,CRK7,CRKR,CRKRS,ENSG00000167258.9,KIAA0904,Q9NYV4"
CDKN1A,cyclin dependent kinase inhibitor 1A,1026,6:36646487-36655108,2,,21.2,yes,,bladder cancer,,,E,,"oncogene, TSG","F, N",,,,"1026,CAP20,CDKN1,CDKN1A,CIP1,ENSG00000124762.9,P21,P38936,SDI1,WAF1,p21,p21CIP1,p21Cip1/Waf1"
CDKN1B,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",1027,12:12870058-12875305,1,,13.1,yes,yes,"breast, small intestine neuroendocrine tumours","pituitary, parathyroid",multiple endocrine neoplasia type IV,E,Rec,TSG,F,,,,"1027,CDKN1B,ENSG00000111276.6,KIP1,P27KIP1,P46527"
CDKN2A,cyclin-dependent kinase inhibitor 2A (p16(INK4a)) gene,1029,9:21968055-21974865,1,Yes,21.3,yes,yes,"melanoma, multiple other tumour types","melanoma, pancreatic",familial malignant melanoma,"L, E, M, O",Rec,TSG,"D, Mis, N, F, S",,,,"1029,ARF,CDK4I,CDKN2,CDKN2A,CMM2,ENSG00000147889.12,INK4,INK4a,MLM,MTS1,P42771,p14,p14ARF,p16,p16INK4a,p19,p19Arf"
CDKN2C,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",1031,1:51426417-51440305,1,,32.3,yes,,"glioma, MM",,,"O, L",Rec,TSG,D,,,,"1031,CDKN2C,ENSG00000123080.6,INK4C,P42773,p18"
CDX2,caudal type homeo box transcription factor 2,1045,13:28536274-28545276,1,,12.2,yes,,AML,,,L,Dom,"TSG, fusion",T,ETV6,,,"1045,CDX2,CDX3,ENSG00000165556.9,Q99626"
CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha",1050,19:33790840-33793470,1,,13.11,yes,,"AML, MDS",,,L,Dom,TSG,"Mis, N, F",,,,"1050,C/EBP-alpha,CEBP,CEBPA,ENSG00000245848.2,P49715"
CHD2,chromodomain helicase DNA binding protein 2,1106,15:93443058-93571237,2,,26.1,yes,,"melanoma, large intestine, CLL, monoclonal B lymphocytosis",,,"E, L",,TSG,"Mis, F, N",,,,"1106,CHD2,DKFZp547I1315,DKFZp686E01200,DKFZp781D1727,ENSG00000173575.14,FLJ38614,O14647"
CHEK2,CHK2 checkpoint homolog (S. pombe),11200,22:29083751-29137826,1,Yes,12.1,,yes,,breast,familial breast cancer,E,Rec,TSG,F,,,,"11200,CDS1,CHEK2,CHK2,ENSG00000183765.16,HuCds1,O96017,PP1425,RAD53,bA444G7"
CIC,capicua homolog,23152,19:42788817-42799949,1,Yes,13.2,yes,,"oligodendroglioma, soft tissue sarcoma",,,"O, M",Rec,"oncogene, TSG, fusion","Mis, F, S,T","DUX4L1, FOXO4",,,"23152,CIC,ENSG00000079432.3,KIAA0306,Q96RK0"
CIITA,"class II, major histocompatibility complex, transactivator",4261,16:10971055-11023624,1,Yes,13.13,yes,,"PMBL, Hodgkin lymphoma",,,L,Dom,"TSG, fusion",T,"C15orf55, CD274, PDCD1LG2, RALGDS, RUNDC2A, RMI2, BCL6",,,"4261,C2TA,CIITA,ENSG00000179583.13,MHC2TA,NLRA,P33076"
CLTC,"clathrin, heavy polypeptide (Hc)",1213,17:57697219-57773671,1,Yes,23.1,yes,,"ALCL, renal",,,L,Dom,"TSG, fusion",T,"ALK, TFE3",,,"1213,CLTC,CLTCL2,ENSG00000141367.7,Hc,Q00610"
CLTCL1,"clathrin, heavy polypeptide-like 1",8218,22:19166986-19279237,1,Yes,11.21,yes,,ALCL,,,L,Dom,"TSG, fusion",T,?,,,"8218,CHC22,CLH22,CLTCL,CLTCL1,CLTD,ENSG00000070371.11,P53675"
CNBP,"CCHC-type zinc finger, nucleic acid binding protein",7555,3:128888945-128902753,1,Yes,21.3,yes,,aneurysmal bone cyst,,,M,Dom,"TSG, fusion",T,USP6,,,"7555,CNBP,CNBP1,DM2,ENSG00000169714.12,P62633,RNF163,ZCCHC22,ZNF9"
CNOT3,CCR4-NOT transcription complex subunit 3,4849,19:54645112-54659418,1,Yes,13.42,yes,,T-ALL,,,L,Rec,TSG,"Mis, N, F",,,,"4849,CNOT3,ENSG00000088038.13,KIAA0691,LENG2,NOT3,NOT3H,O75175"
CNTNAP2,contactin associated protein like 2,26047,7:145813453-148118090,2,,36.1,yes,,"glioma, melanoma",,,"E, O",,TSG,Mis,,,,"26047,CNTNAP2,Caspr2,ENSG00000174469.13,KIAA0868,NRXN4,Q9UHC6"
CPEB3,cytoplasmic polyadenylation element binding protein 3,22849,10:93809388-94050844,2,,23.32,yes,,lung cancer,,,E,,TSG,D,,,,"22849,CPEB3,ENSG00000107864.10,KIAA0940,Q8NE35"
CREB3L1,cAMP responsive element binding protein 3-like 1,90993,11:46299212-46342972,1,Yes,11.2,yes,,myxofibrosarcoma,,,M,Dom,"TSG, fusion",T,FUS,,,"90993,CREB3L1,ENSG00000157613.6,OASIS,Q96BA8"
CREBBP,CREB binding protein (CBP),1387,16:3775055-3930727,1,Yes,13.3,yes,,"ALL, AML, DLBCL, B-NHL",,,L,Dom/Rec,"oncogene, TSG, fusion","T, N, F, Mis, O","KMT2A, MORF, KAT6A",yes,Rubinstein-Taybi syndrome,"1387,CBP,CREBBP,ENSG00000005339.8,KAT3A,Q92793,RSTS,RTS"
CSMD3,CUB and Sushi multiple domains 3,114788,8:113235157-114449328,2,,23.3,yes,,"ovarian cancer, oral SCC, lung cancer",,,E,,TSG,"Mis, N",,,,"114788,CSMD3,ENSG00000164796.13,Q7Z407"
CTCF,CCCTC-binding factor,10664,16:67596310-67673086,1,Yes,22.1,yes,,"endometrial, breast, head and neck cancer",,,E,Dom,TSG,"Mis, N",,,"Mental retardation, autosomal dominant 21","10664,CTCF,ENSG00000102974.10,P49711"
CUL3,cullin 3,8452,2:225334867-225450065,2,,36.2,yes,,lung cancer,,,E,,TSG,N,,,,"8452,CUL3,ENSG00000036257.8,Q13618"
CUX1,cut-like homeobox 1,1523,7:101459291-101901513,1,Yes,22.1,yes,,"endometrial, melanoma, colorectal, AML, MDS, other tumour types",,,"E,L,M,O",Dom,"oncogene, TSG","N,F,S,Mis,O,T",CLDN7,,,"1523,CASP,CDP,CDP/Cut,CDP/Cux,CDP1,CUT,CUTL1,CUX,CUX1,Clox,Cux/CDP,ENSG00000257923.5,GOLIM6,P39880"
CYLD,familial cylindromatosis gene,1540,16:50776671-50835846,1,Yes,12.1,yes,yes,cylindroma,cylindroma,"familial cylindromatosis, familial trichoepithelioma, Brooke-Spiegler syndrome",E,Rec,TSG,"Mis, N, F, S",,,,"1540,CYLD,CYLD1,ENSG00000083799.13,KIAA0849,Q9NQC7,USPL2"
DAXX,death-domain associated protein,1616,6:33286335-33290791,1,Yes,21.32,yes,,"pancreatic neuroendocrine tumour, paediatric glioblastoma",,,E,Rec,"oncogene, TSG","Mis, F, N",,,,"1616,DAP6,DAXX,ENSG00000204209.6,Q9UER7"
DDB2,damage-specific DNA binding protein 2,1643,11:47236493-47260767,1,Yes,11.2,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (E),E,Rec,"oncogene, TSG","Mis, N",,,,"1643,DDB2,DDBB,ENSG00000134574.7,FLJ34321,Q92466,UV-DDB2,XPE"
DDX10,DEAD (Asp-Glu-Ala-Asp) box polypeptide 10,1662,11:108535752-108811657,1,Yes,22.3,yes,,AML*,,,L,Dom,"TSG, fusion",T,NUP98,,,"1662,DDX10,Dbp4,ENSG00000178105.5,HRH-J8,Q13206"
DDX3X,"DEAD-box helicase 3, X-linked",1654,X:41192651-41209462,1,Yes,11.4,yes,,"CLL, medulloblastoma",,,"L, O",,TSG,"Mis, N, F",,yes,"Mental retardation, X-linked 102","1654,DBX,DDX14,DDX3,DDX3X,ENSG00000215301.5,HLP2,O00571"
DICER1,"dicer 1, ribonuclease type III",23405,14:95552565-95624347,1,Yes,32.13,yes,yes,"sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types",pleuropulmonary blastoma,familial pleuropulmonary blastoma or DICER1 syndrome,"E, M, O",Rec,TSG,"Mis, F, N",,,,"23405,DICER1,Dicer,ENSG00000100697.10,HERNA,K12H4.8-LIKE,KIAA0928,MNG1,Q9UPY3"
DNM2,dynamin 2,1785,19:10828807-10942579,1,Yes,13.2,yes,,T-ALL,,,L,Rec,TSG,"F, N, S, Mis, O",,yes,"Charcot-Marie-Tooth disease, centronuclear myopathy,  lethal congenital contracture syndrome 5","1785,CMT2M,CMTDI1,CMTDIB,DI-CMTB,DNM2,DYN2,DYNII,ENSG00000079805.12,P50570"
DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha,1788,2:25455845-25565459,1,,23.3,yes,,AML,,,L,Dom,TSG,"Mis, F, N, S",,,,"1788,DNMT3A,ENSG00000119772.12,Q9Y6K1"
DROSHA,drosha ribonuclease III,29102,5:31400604-31532168,1,Yes,13.3,yes,,"Wilms tumour, NSCLC, bladder carcinoma",,,"E, O",,TSG,"A, Mis, N, F",,,,"29102,DROSHA,ENSG00000113360.12,Etohi2,HSA242976,Q9NRR4,RN3,RNASE3L,RNASEN"
EBF1,early B-cell factor 1,1879,5:158122928-158526769,1,Yes,33.3,yes,,lipoma,,,M,Dom,"TSG, fusion",T,HMGA2,,,"1879,COE1,EBF,EBF1,ENSG00000164330.12,OLF1,Q9UH73"
EED,embryonic ectoderm development,8726,11:85955586-85989778,2,,14.2,yes,,"malignant peripheral nerve sheath tumours, MDS and related, lung adenocarcinoma",,,"E, L",,TSG,"Mis, F",,,,"8726,EED,ENSG00000074266.13,HEED,O75530,WAIT-1"
EIF3E,"eukaryotic translation initiation factor 3, subunit E",3646,8:109213972-109260994,1,Yes,23.1,yes,,colorectal,,,E,Dom,"TSG, fusion",T,RSPO3,,,"3646,EIF3E,EIF3S6,ENSG00000104408.5,INT6,P60228,eIF3-p48,eIF3e"
ELF3,E74 like ETS transcription factor 3,1999,1:201977073-201985137,2,,32.1,yes,,pancreatic cancer,,,E,,TSG,"Mis, N, F",,,,"1999,ELF3,ENSG00000163435.11,EPR-1,ERT,ESE-1,ESX,P78545"
ELF4,E74-like factor 4 (ets domain transcription factor),2000,X:129198903-129244470,1,Yes,26.1,yes,,AML,,,L,Dom,"oncogene, TSG, fusion",T,ERG,,,"2000,ELF4,ELFR,ENSG00000102034.12,MEF,Q99607"
